starttime	seconds	ctime	dtime	ttime	wait
Mon Mar 03 17:53:51 2014	1393858431	0	646	646	645
Mon Mar 03 17:53:54 2014	1393858434	0	646	646	646
Mon Mar 03 17:53:52 2014	1393858432	0	646	646	646
Mon Mar 03 17:53:56 2014	1393858436	0	646	646	646
Mon Mar 03 17:53:53 2014	1393858433	0	646	646	646
Mon Mar 03 17:53:53 2014	1393858433	0	646	646	646
Mon Mar 03 17:53:53 2014	1393858433	0	646	646	646
Mon Mar 03 17:53:56 2014	1393858436	0	647	647	646
Mon Mar 03 17:53:54 2014	1393858434	0	647	647	647
Mon Mar 03 17:53:52 2014	1393858432	0	647	647	647
Mon Mar 03 17:53:53 2014	1393858433	0	647	647	647
Mon Mar 03 17:53:56 2014	1393858436	0	647	647	647
Mon Mar 03 17:53:56 2014	1393858436	0	647	647	647
Mon Mar 03 17:53:55 2014	1393858435	0	648	648	647
Mon Mar 03 17:53:53 2014	1393858433	0	648	648	648
Mon Mar 03 17:53:55 2014	1393858435	0	648	648	648
Mon Mar 03 17:53:57 2014	1393858437	0	648	648	648
Mon Mar 03 17:53:57 2014	1393858437	0	648	648	648
Mon Mar 03 17:53:53 2014	1393858433	0	648	648	648
Mon Mar 03 17:53:53 2014	1393858433	0	649	649	648
Mon Mar 03 17:53:57 2014	1393858437	0	649	649	649
Mon Mar 03 17:53:52 2014	1393858432	0	649	649	649
Mon Mar 03 17:53:51 2014	1393858431	0	650	650	650
Mon Mar 03 17:53:55 2014	1393858435	0	650	650	650
Mon Mar 03 17:53:55 2014	1393858435	0	650	650	650
Mon Mar 03 17:53:52 2014	1393858432	0	650	650	650
Mon Mar 03 17:53:52 2014	1393858432	0	650	650	650
Mon Mar 03 17:53:53 2014	1393858433	0	651	651	650
Mon Mar 03 17:53:56 2014	1393858436	0	651	651	651
Mon Mar 03 17:53:55 2014	1393858435	0	651	651	651
Mon Mar 03 17:53:55 2014	1393858435	0	651	651	651
Mon Mar 03 17:53:51 2014	1393858431	0	651	651	651
Mon Mar 03 17:53:56 2014	1393858436	0	651	651	651
Mon Mar 03 17:53:57 2014	1393858437	0	651	651	651
Mon Mar 03 17:53:52 2014	1393858432	0	651	651	651
Mon Mar 03 17:53:54 2014	1393858434	0	652	652	651
Mon Mar 03 17:53:56 2014	1393858436	0	652	652	652
Mon Mar 03 17:53:56 2014	1393858436	0	652	652	652
Mon Mar 03 17:53:55 2014	1393858435	0	652	652	652
Mon Mar 03 17:53:53 2014	1393858433	0	652	652	652
Mon Mar 03 17:53:55 2014	1393858435	0	652	652	652
